Truth,Decoded
set blue in g five soon,lay r i six one
set green in o nine again,lay r i six one
lay white with f seven soon,lay r i six one
place blue at v two now,lay r i six one
place blue at p zero please,lay r i six one
place red in v six please,lay r i six one
place white by x nine soon,lay r i six one
set white in h seven soon,lay r i six one
lay blue with e five soon,lay r i six one
bin white with u two please,lay r i six one
place green by k eight please,lay r i six one
set green with q one again,lay r i six one
bin white with u three again,lay r i six one
set red by i one again,lay r i six one
lay white in e four now,lay r i six one
place red by d zero now,lay r i six one
set white at o five soon,lay r i six one
place blue with d zero please,lay r i six one
set red in n five soon,lay r i six one
place red at j zero now,lay r i six one
bin green in t five soon,lay r i six one
place red by j four now,lay r i six one
place white at d four please,lay r i six one
set green by j two please,lay r i six one
place red with q three soon,lay r i six one
set red at o one again,lay r i six one
place red at c six now,lay r i six one
lay blue in j seven soon,lay r i six one
set green by p seven again,lay r i six one
lay red by l three again,lay r i six one
place green with l two please,lay r i six one
bin green with o three soon,lay r i six one
place green in q two now,lay r i six one
place green with y eight now,lay r i six one
lay blue in q two please,lay r i six one
place blue at c two please,lay r i six one
set green at p zero now,lay r i six one
bin blue by s four now,lay r i six one
place green by y five soon,lay r i six one
place green in x six now,lay r i six one
place blue by i nine soon,lay r i six one
place blue in o seven again,y r i six a
bin white at n one again,lay r i six one
bin green with h nine soon,lay r i six one
lay green with m six now,lay r i six one
lay white in l zero please,lay r i six one
bin blue at s two please,lay r i six one
bin white by t six now,lay r i six one
place white with y two now,lay r i six one
place red by d two please,lay r i six one
